1;Ei fu;siccome immobile;Alessandro Manzoni;Cinque Maggio;0;0
2;Tanto gentile e;tanto onesta pare;Dante Alighieri;Vita Nova;0;0
3;Nel mezzo del cammin di nostra vita;mi ritrovai per una selva oscura;Dante Alighieri;Divina Commedia;0;0
4;La donzelletta vien dalla campagna;in sul calar del sole;Giacomo Leopardi;Il sabato del villaggio;0;0
5;Sempre caro mi fu ;quest’ermo colle;Giacomo Leopardi;L'infinito;0;0
6;Tu non altro che il canto ;avrai del figlio;Ugo Foscolo;A Zacinto;0;0
7;La nebbia a gl’irti colli;Piovigginando sale;Giosuè Carducci;La nebbia agli irti colli;0;0
8;Si sta come d'autunno;sugli alberi le foglie.;Giuseppe Ungaretti;Soldati;0;0
9;Silvia, rimembri ancora;Quel tempo della tua vita mortale;Giacomo Leopardi;A Silvia;0;0
10;Gemmea l’aria, il sole così chiaro;che tu ricerchi gli albicocchi in fiore;Giovanni Pascoli;Novembre;0;0
